Country,Industry,Industry_Sub_Category
United States,Technology,Software & IT Services
United States,Healthcare,Pharmaceuticals & Biotechnology
United States,Finance,Investment Banking & Asset Management
United States,Retail,E-commerce & General Merchandise
United States,Manufacturing,Automotive & Aerospace
United States,Energy,Oil & Gas Exploration & Production
United States,Professional Services,Management Consulting & Legal Services
United States,Media & Entertainment,Digital Media & Streaming
United States,Hospitality & Tourism,Hotels & Resorts
United States,Real Estate,Residential & Commercial Development
